Date,DRP** mg/L P,Flow_gal,Month,NH3 mg/L N,NO2 mg/L N,NO3 mg/L N,PO4 mg/L P,SKN mg/L N,TDN mg/L N,TDP mg/L P,TKN mg/L N,TN mg/L N,TP mg/L P,TSS mg/L,Year,flow mgd,pH,peak_flow mgd,temperature degC,urea* mg/L N
2000-01-02,,41250000,1,17.3,,,0.52,,,,,,,11,2000,41,7.34,,19.6,
2000-01-03,,41250000,1,18.7,,,0.52,,,,,,,7,2000,41,7.21,,19.5,
2000-01-04,,40310000,1,18.6,,,0.52,,,,,,,12,2000,40,7.22,,20.6,
2000-01-05,,39690000,1,20.7,,,0.52,,,,,,,10,2000,40,7.37,,22.2,
2000-01-06,,39560000,1,21.6,0.02,0.16,0.52,,,,24.4,,0.65,9,2000,40,7.31,,20.1,
2000-01-07,,39940000,1,23.1,,,0.52,,,,,,,11,2000,40,7.09,,21.5,
2000-01-08,,40440000,1,20.8,,,0.52,,,,,,,11,2000,40,7.18,,21.5,
2000-01-09,,40940000,1,20.7,,,0.52,,,,,,,14,2000,41,7.21,,20.9,
2000-01-10,,42870000,1,20.3,,,0.52,,,,,,,12,2000,43,7.19,,20.2,
2000-01-11,,44620000,1,20.9,,,0.52,,,,,,,6,2000,45,7.25,,22,
2000-01-12,,41690000,1,21.7,0.09,0.08,0.52,,,,24.8,,0.7,10,2000,42,7.46,,20.5,
2000-01-13,,40810000,1,20.4,,,0.52,,,,,,,9,2000,41,7.34,,19.4,
2000-01-14,,40310000,1,21.3,,,0.52,,,,,,,8,2000,40,7.44,,19.8,
2000-01-15,,43190000,1,21.5,,,0.52,,,,,,,9,2000,43,7.19,,20.7,
2000-01-16,,48620000,1,20.7,,,0.52,,,,,,,11,2000,49,7.3,,20.3,
2000-01-17,,44560000,1,17.7,,,0.52,,,,,,,10,2000,45,7.47,,20,
2000-01-18,,52000000,1,18.5,,,0.52,,,,,,,8,2000,52,7.08,,20.6,
2000-01-19,,46060000,1,18.5,0.12,0.12,0.52,,,,20.8,,0.5,6,2000,46,7.03,,21.6,
2000-01-20,,44250000,1,18.9,,,0.52,,,,,,,6,2000,44,7.31,,20.5,
2000-01-21,,43560000,1,19.8,,,0.52,,,,,,,6,2000,44,7.36,,20.6,
2000-01-22,,44500000,1,19.9,,,0.52,,,,,,,5,2000,45,7.28,,21.3,
2000-01-23,,65120000,1,19.9,,,0.52,,,,,,,9,2000,65,7.34,,20,
2000-01-24,,122870000,1,15.8,,,0.52,,,,,,,10,2000,123,7.25,,18.2,
2000-01-25,,82620000,1,6.6,0.33,1.49,0.52,,,,9.1,,0.85,9,2000,83,6.65,,19.9,
