Date,DRP** mg/L P,Month,NH3 mg/L N,NO2 mg/L N,NO3 mg/L N,PO4 mg/L P,SKN mg/L N,TDN mg/L N,TDP mg/L P,TKN mg/L N,TN mg/L N,TP mg/L P,TSS mg/L,Year,flow mgd,pH,peak_flow mgd,temperature degC,urea* mg/L N
2000-01-02,,1,,,2.92,3.34,,,,33.36,,3.61,,2000,8.1,,,,
2000-01-03,,1,,,2.92,3.34,,,,33.36,,3.61,3.2,2000,8.2,7.2,,17.8,
2000-01-04,,1,,,2.92,3.34,,,,33.36,,3.61,,2000,8,,,,
2000-01-05,,1,29.3,,2.92,3.34,,,,33.36,,3.61,4.2,2000,8,7.4,,18.2,
2000-01-06,,1,,,2.92,3.34,,,,33.36,,3.61,,2000,7.9,,,,
2000-01-07,,1,,,2.92,3.34,,,,33.36,,3.61,4.8,2000,7.9,7.3,,17.6,
2000-01-08,,1,,,2.92,3.34,,,,33.36,,3.61,,2000,8.1,,,,
2000-01-09,,1,,,2.92,3.34,,,,33.36,,3.61,,2000,8.1,,,,
2000-01-10,,1,,,2.92,3.34,,,,33.36,,3.61,5.5,2000,8.1,7.2,,18.1,
2000-01-11,,1,,,2.92,3.34,,,,33.36,,3.61,,2000,15,,,,
2000-01-12,,1,,,2.92,3.34,,,,33.36,,3.61,,2000,11,,,,
2000-01-13,,1,19.7,,2.92,3.34,,,,33.36,,3.61,3.2,2000,9.8,7.2,,17.7,
2000-01-14,,1,,,2.92,3.34,,,,33.36,,3.61,4.5,2000,9.6,7.2,,17.5,
2000-01-15,,1,,,2.92,3.34,,,,33.36,,3.61,,2000,9.5,,,,
2000-01-16,,1,,,2.92,3.34,,,,33.36,,3.61,,2000,14.8,,,,
2000-01-17,,1,,,2.92,3.34,,,,33.36,,3.61,,2000,11.6,,,,
2000-01-18,,1,,,2.92,3.34,,,,33.36,,3.61,6.2,2000,16.7,7.2,,17.2,
2000-01-19,,1,12.7,,2.92,3.34,,,,33.36,,3.61,3.8,2000,16.8,7.1,,17,
2000-01-20,,1,,,2.92,3.34,,,,33.36,,3.61,,2000,11,,,,
2000-01-21,,1,,,2.92,3.34,,,,33.36,,3.61,2.8,2000,13.4,7.1,,17.2,
2000-01-22,,1,,,2.92,3.34,,,,33.36,,3.61,,2000,13.3,,,,
2000-01-23,,1,,,2.92,3.34,,,,33.36,,3.61,,2000,32.9,,,,
2000-01-24,,1,,,2.92,3.34,,,,33.36,,3.61,33.8,2000,62.1,6.7,,14.5,
2000-01-25,,1,,,2.92,3.34,,,,33.36,,3.61,14,2000,27.6,6.9,,14.9,
2000-01-26,,1,8.4,,2.92,3.34,,,,33.36,,3.61,6.8,2000,17.9,7,,15.7,
2000-01-27,,1,,,2.92,3.34,,,,33.36,,3.61,,2000,15.1,,,,
2000-01-28,,1,,,2.92,3.34,,,,33.36,,3.61,7.5,2000,13.4,7.1,,16.2,
2000-01-29,,1,,,2.92,3.34,,,,33.36,,3.61,,2000,12.4,,,,
2000-01-30,,1,,,2.92,3.34,,,,33.36,,3.61,,2000,15.7,,,,
2000-01-31,,1,,,2.92,3.34,,,,33.36,,3.61,6.8,2000,15.3,7.1,,16.4,
2000-02-01,,2,,,2.92,3.34,,,,33.36,,3.61,,2000,14.4,,,,
2000-02-02,,2,15.4,,2.92,3.34,,,,33.36,,3.61,9.5,2000,13.6,7.1,,16.6,
2000-02-03,,2,,,2.92,3.34,,,,33.36,,3.61,,2000,13.5,,,,
2000-02-04,,2,,,2.92,3.34,,,,33.36,,3.61,3,2000,12.9,7.1,,16.8,
2000-02-05,,2,,,2.92,3.34,,,,33.36,,3.61,,2000,17.6,,,,
