Date,DRP** mg/L P,Month,NH3 mg/L N,NO2 mg/L N,NO3 mg/L N,PO4 mg/L P,SKN mg/L N,TDN mg/L N,TDP mg/L P,TKN mg/L N,TN mg/L N,TP mg/L P,TSS mg/L,Year,flow mgd,pH,peak_flow mgd,temperature degC,urea* mg/L N
2000-02-01,,2,,,,0.79,,,,27.85,,,,2000,15.054,,,,
2000-03-01,,3,,,,0.79,,,,27.85,,,,2000,14.426,,,,
2000-04-01,,4,,,,0.79,,,,27.85,,,,2000,13.95,,,,
2000-05-01,,5,,,,0.79,,,,27.85,,,,2000,13.552,,,,
2000-06-01,,6,,,,0.79,,,,27.85,,,,2000,13.487,,,,
2000-07-01,,7,,,,0.79,,,,27.85,,,,2000,13.403,,,,
2000-08-01,,8,,,,0.79,,,,27.85,,,,2000,13.439,,,,
2000-09-01,,9,,,,0.79,,,,27.85,,,,2000,13.57,,,,
2000-10-01,,10,,,,0.79,,,,27.85,,,,2000,13.754,,,,
2000-11-01,,11,,,,0.79,,,,27.85,,,,2000,13.777,,,,
2000-12-01,,12,,,,0.79,,,,27.85,,,,2000,13.587,,,,
2001-01-01,,1,,,,0.79,,,,27.85,,,,2001,13.513,,,,
2001-02-01,,2,,,,0.79,,,,27.85,,,,2001,14.161,,,,
2001-03-01,,3,,,,0.79,,,,27.85,,,,2001,13.9,,,,
2001-04-01,,4,,,,0.79,,,,27.85,,,,2001,13.51,,,,
2001-05-01,,5,,,,0.79,,,,27.85,,,,2001,13.406,,,,
2001-06-01,,6,,,,0.79,,,,27.85,,,,2001,13.64,,,,
2001-07-01,,7,,,,0.79,,,,27.85,,,,2001,13.31,,,,
2001-08-01,,8,,,,0.79,,,,27.85,,,,2001,12.235,,,,
2001-09-01,,9,,,,0.79,,,,27.85,,,,2001,12.32,,,,
2001-10-01,,10,,,,0.79,,,,27.85,,,,2001,12.132,,,,
2001-11-01,,11,,,,0.79,,,,27.85,,,,2001,12.357,,,,
2001-12-01,,12,,,,0.79,,,,27.85,,,,2001,13.9,,,,
2002-01-01,,1,,,,0.79,,,,27.85,,,,2002,12.984,,,,
2002-02-01,,2,,,,0.79,,,,27.85,,,,2002,12.425,,,,
2002-03-01,,3,,,,0.79,,,,27.85,,,,2002,12.206,,,,
2002-04-01,,4,,,,0.79,,,,27.85,,,,2002,10.387,,,,
2002-05-01,,5,,,,0.79,,,,27.85,,,,2002,9.894,,,,
2002-06-01,,6,,,,0.79,,,,27.85,,,,2002,10.593,,,,
2002-07-01,,7,,,,0.79,,,,27.85,,,,2002,8.961,,,,
2002-08-01,,8,,,,0.79,,,,27.85,,,,2002,9.123,,,,
2002-09-01,,9,,,,0.79,,,,27.85,,,,2002,8.18,,,,
2002-10-01,,10,,,,0.79,,,,27.85,,,,2002,9.077,,,,
2002-11-01,,11,,,,0.79,,,,27.85,,,,2002,9.38,,,,
2002-12-01,,12,,,,0.79,,,,27.85,,,,2002,11.11,,,,
2003-01-01,,1,,,,0.79,,,,27.85,,,,2003,9.994,,,,
2003-02-01,,2,,,,0.79,,,,27.85,,,,2003,10.357,,,,
2003-03-01,,3,,,,0.79,,,,27.85,,,,2003,8.713,,,,
2003-04-01,,4,,,,0.79,,,,27.85,,,,2003,10.05,,,,
2003-05-01,,5,,,,0.79,,,,27.85,,,,2003,10.639,,,,
2003-06-01,,6,,,,0.79,,,,27.85,,,,2003,9.627,,,,
2003-07-01,,7,,,,0.79,,,,27.85,,,,2003,7.89,,,,
2003-08-01,,8,,,,0.79,,,,27.85,,,,2003,8.365,,,,
2003-09-01,,9,,,,0.79,,,,27.85,,,,2003,8.293,,,,
2003-10-01,,10,,,,0.79,,,,27.85,,,,2003,8.177,,,,
2003-11-01,,11,,,,0.79,,,,27.85,,,,2003,9.987,,,,
2003-12-01,,12,,,,0.79,,,,27.85,,,,2003,11.526,,,,
2004-01-01,,1,,,,0.79,,,,27.85,,,,2004,10.771,,,,
2004-02-01,,2,,,,0.79,,,,27.85,,,,2004,9.852,,,,
2004-03-01,,3,,,,0.79,,,,27.85,,,,2004,9.042,,,,
2004-04-01,,4,,,,0.79,,,,27.85,,,,2004,8.447,,,,
2004-05-01,,5,,,,0.79,,,,27.85,,,,2004,9.584,,,,
2004-06-01,,6,,,,0.79,,,,27.85,,,,2004,9.173,,,,
2004-07-01,,7,,,,0.79,,,,27.85,,,,2004,8.087,,,,
2004-08-01,,8,,,,0.79,,,,27.85,,,,2004,7.89,,,,
2004-09-01,,9,,,,0.79,,,,27.85,,,,2004,8.293,,,,
2004-10-01,,10,,,,0.79,,,,27.85,,,,2004,8.842,,,,
2004-11-01,,11,,,,0.79,,,,27.85,,,,2004,10.6,,,,
2004-12-01,,12,,,,0.79,,,,27.85,,,,2004,10.716,,,,
2005-01-01,,1,,,,0.79,,,,27.85,,,,2005,11.519,,,,
2005-02-01,,2,,,,0.79,,,,27.85,,,,2005,10.518,,,,
2005-03-01,,3,,,,0.79,,,,27.85,,,,2005,10.397,,,,
2005-04-01,,4,,,,0.79,,,,27.85,,,,2005,10.067,,,,
2005-05-01,,5,,,,0.79,,,,27.85,,,,2005,12.019,,,,
2005-06-01,,6,,,,0.79,,,,27.85,,,,2005,9.88,,,,
2005-07-01,,7,,,,0.79,,,,27.85,,,,2005,8.281,,,,
2005-08-01,,8,,,,0.79,,,,27.85,,,,2005,8.219,,,,
2005-09-01,,9,,,,0.79,,,,27.85,,,,2005,8.677,,,,
2005-10-01,,10,,,,0.79,,,,27.85,,,,2005,8.71,,,,
2005-11-01,,11,,,,0.79,,,,27.85,,,,2005,8.623,,,,
2005-12-01,,12,,,,0.79,,,,27.85,,,,2005,10.071,,,,
2006-01-01,,1,,,,0.79,,,,27.85,,,,2006,11.745,,,,
2006-02-01,,2,,,,0.79,,,,27.85,,,,2006,10.254,,,,
2006-03-01,,3,,,,0.79,,,,27.85,,,,2006,10.777,,,,
2006-04-01,,4,,,,0.79,,,,27.85,,,,2006,12.433,,,,
2006-05-01,,5,,,,0.79,,,,27.85,,,,2006,11.952,,,,
2006-06-01,,6,,,,0.79,,,,27.85,,,,2006,9.41,,,,
2006-07-01,,7,,,,0.79,,,,27.85,,,,2006,8.319,,,,
2006-08-01,,8,,,,0.79,,,,27.85,,,,2006,8.513,,,,
2006-09-01,,9,,,,0.79,,,,27.85,,,,2006,8.65,,,,
2006-10-01,,10,,,,0.79,,,,27.85,,,,2006,9.206,,,,
2006-11-01,,11,,,,0.79,,,,27.85,,,,2006,10.607,,,,
2006-12-01,,12,,,,0.79,,,,27.85,,,,2006,10.358,,,,
2007-01-01,,1,47.5,,,0.79,,,,27.85,,,,2007,9.877,,,,
2007-02-01,,2,,0.87,0.7,0.79,,,,27.85,,,,2007,9.686,,,,
2007-03-01,,3,32.9,,,0.79,,,,27.85,,,,2007,9.671,,,,
2007-04-01,,4,,,,0.79,,,,27.85,,,,2007,10.617,,,,
2007-05-01,,5,38.2,0.7,1.5,0.79,,,,27.85,,,,2007,8.919,,,,
2007-06-01,,6,39.5,1.1,1.4,0.79,,,,27.85,,,,2007,8.547,,,,
2007-07-01,,7,34.6,2,1.7,0.79,,,,27.85,,,,2007,7.965,,,,
2007-08-01,,8,38.5,1.7,3.5,0.79,,,,27.85,,,,2007,7.403,,,,
2007-09-01,,9,30.2,,,0.79,,,,27.85,,,,2007,8.14,,,,
2007-10-01,,10,32.3,,,0.79,,,,27.85,,,,2007,8.335,,,,
2007-11-01,,11,33.4,,,0.79,,,,27.85,,,,2007,8.273,,,,
2007-12-01,,12,35.2,,,0.79,,,,27.85,,,,2007,8.432,,,,
2008-01-01,,1,35.7,,,0.79,,,,27.85,,,,2008,10.535,,,,
2008-02-01,,2,36.6,,,0.79,,,,27.85,,,,2008,11.428,,,,
2008-03-01,,3,34.5,,,0.79,,,,27.85,,,,2008,9.058,,,,
2008-04-01,,4,49.4,,,0.79,,,,27.85,,,,2008,8.05,,,,
2008-05-01,,5,31.2,,,0.79,,,,27.85,,,,2008,11.006,,,,
2008-06-01,,6,,,,0.79,,,,27.85,,,,2008,9.58,,,,
2008-07-01,,7,,,,0.79,,,,27.85,,,,2008,7.906,,,,
