Date,DRP** mg/L P,Month,NH3 mg/L N,NO2 mg/L N,NO3 mg/L N,PO4 mg/L P,SKN mg/L N,TDN mg/L N,TDP mg/L P,TKN mg/L N,TN mg/L N,TP mg/L P,TSS mg/L,Year,flow mgd,pH,peak_flow mgd,temperature degC,urea* mg/L N
2004-01-06,,1,0.1,0.03,5.5,3.86,,,,0.5,6,,,2004,21.21,,,,
2004-01-14,,1,0.1,,3.9,3.86,,,,1,4.9,2.9,,2004,15.41,,,,
2004-01-21,,1,0.1,,9.1,3.86,,,,0.8,9.9,2.1,,2004,18.83,,,,
2004-01-28,,1,0.1,,10,3.86,,,,0.9,10.9,2.6,,2004,20.74,,,,
2004-02-03,,2,0.5,0.03,15,3.86,,,,0.9,15.9,3,,2004,24.08,,,,
2004-02-11,,2,0.1,,9.4,3.86,,,,1.3,10.7,3.2,,2004,18.19,,,,
2004-02-18,,2,0.1,,6.8,3.86,,,,1.4,8.2,2.6,,2004,34.03,,,,
2004-02-25,,2,0.1,,6.8,3.86,,,,1.3,8.1,1.9,,2004,24.27,,,,
2004-03-02,,3,0.2,,,3.86,,,,,,,,2004,25.83,,,,
2004-03-04,,3,0.2,0.03,9.4,3.86,,,,1,10.4,2,,2004,24.44,,,,
2004-03-10,,3,0.1,,13,3.86,,,,0.6,13.6,2.93,,2004,16.78,,,,
2004-03-17,,3,0.1,,5.1,3.86,,,,0.7,5.8,2.03,,2004,16.19,,,,
2004-03-31,,3,0.9,,4.1,3.86,,,,1.8,5.9,1.44,,2004,12.3,,,,
2004-04-06,,4,,0.03,3.4,3.86,,,,1.3,4.7,1.6,,2004,16.5,,,,
2004-04-14,,4,0.1,,8.8,3.86,,,,0.8,9.6,3.12,,2004,9.68,,,,
2004-04-21,,4,0.1,,2.5,3.86,,,,0.9,3.4,2.63,,2004,12.79,,,,
2004-04-28,,4,0.1,,4.2,3.86,,,,1,5.2,3.69,,2004,12.95,,,,
2004-05-04,,5,0.7,0.03,15,3.86,,,,1.2,16.2,4.4,,2004,16.01,,,,
2004-05-12,,5,0.1,,18.6,3.86,,,,0.84,19.44,3.96,,2004,11.99,,,,
2004-05-19,,5,0.1,,1.5,3.86,,,,0.5,2,3.32,,2004,13.62,,,,
2004-05-26,,5,0.12,,8,3.86,,,,1.2,9.2,2.06,,2004,5.99,,,,
2004-06-01,,6,2.2,0.04,5.2,3.86,,,,2.9,8.1,0.7,,2004,6.03,,,,
2004-06-09,,6,0.15,,7.4,3.86,,,,0.93,8.33,2.51,,2004,12.28,,,,
2004-06-23,,6,0.2,,5.9,3.86,,,,0.56,6.46,2.46,,2004,12.53,,,,
2004-06-30,,6,,,8.4,3.86,,,,2.8,11.2,2.43,,2004,11.2,,,,
2004-07-06,,7,0.2,0.03,16,3.86,,,,0.6,16.6,3,,2004,7.29,,,,
2004-07-07,,7,0.1,,,3.86,,,,,,,,2004,7.18,,,,
2004-07-10,,7,0.1,,1.8,3.86,,,,0.8,2.6,,,2004,10.39,,,,
2004-07-14,,7,0.1,,,3.86,,,,,,1.9,,2004,10.36,,,,
2004-07-15,,7,0.1,,2.1,3.86,,,,0.9,3,,,2004,12.24,,,,
2004-07-21,,7,0.1,,,3.86,,,,,,2.6,,2004,11.76,,,,
