Date,DRP** mg/L P,Month,NH3 mg/L N,NO2 mg/L N,NO3 mg/L N,PO4 mg/L P,SKN mg/L N,TDN mg/L N,TDP mg/L P,TKN mg/L N,TN mg/L N,TP mg/L P,TSS mg/L,Year,flow mgd,pH,peak_flow mgd,temperature degC,urea* mg/L N
2005-01-01,,1,6,,11.04,0.37,,,,1.44,,0.39,,2005,8.57,,,,
2005-02-01,,2,2,,11.04,0.37,,,,1.44,,0.39,,2005,7.32,,,,
2005-03-01,,3,2.9,,11.04,0.37,,,,1.44,,0.39,,2005,7.94,,,,
2005-04-01,,4,4.5,,11.04,0.37,,,,1.44,,0.39,,2005,5.67,,,,
2005-05-01,,5,7.1,,11.04,0.37,,,,1.44,,0.39,,2005,6.22,,,,
2005-06-01,,6,1.9,,11.04,0.37,,,,1.44,,0.39,,2005,5.35,,,,
2005-07-01,,7,,,11.04,0.37,,,,1.44,,0.39,,2005,5.14,,,,
2005-08-01,,8,,,11.04,0.37,,,,1.44,,0.39,,2005,5.08,,,,
2005-09-01,,9,,,11.04,0.37,,,,1.44,,0.39,,2005,4.92,,,,
2005-10-01,,10,,,11.04,0.37,,,,1.44,,0.39,,2005,4.98,,,,
2005-11-01,,11,5.4,,11.04,0.37,,,,1.44,,0.39,,2005,5.28,,,,
2005-12-01,,12,6.1,,11.04,0.37,,,,1.44,,0.39,,2005,8.98,,,,
2006-01-01,,1,8.3,,11.04,0.37,,,,1.44,,0.39,,2006,8.82,,,,
2006-02-01,,2,9.5,,11.04,0.37,,,,1.44,,0.39,,2006,6.76,,,,
2006-03-01,,3,6.4,,11.04,0.37,,,,1.44,,0.39,,2006,10.26,,,,
2006-04-01,,4,5.2,,11.04,0.37,,,,1.44,,0.39,,2006,9.81,,,,
2006-05-01,,5,7.5,,11.04,0.37,,,,1.44,,0.39,,2006,5.58,,,,
2006-06-01,,6,5.8,,11.04,0.37,,,,1.44,,0.39,,2006,5.22,,,,
2006-07-01,,7,,,11.04,0.37,,,,1.44,,0.39,,2006,4.93,,,,
2006-08-01,,8,,,11.04,0.37,,,,1.44,,0.39,,2006,4.89,,,,
2006-09-01,,9,,,11.04,0.37,,,,1.44,,0.39,,2006,4.82,,,,
2006-10-01,,10,,,11.04,0.37,,,,1.44,,0.39,,2006,4.84,,,,
2006-11-01,,11,6,,11.04,0.37,,,,1.44,,0.39,,2006,5.33,,,,
2006-12-01,,12,2.7,,11.04,0.37,,,,1.44,,0.39,,2006,6.42,,,,
2007-01-01,,1,8.2,,11.04,0.37,,,,1.44,,0.39,,2007,5.38,,,,
2007-02-01,,2,8.9,,11.04,0.37,,,,1.44,,0.39,,2007,7.53,,,,
2007-03-01,,3,9.9,,11.04,0.37,,,,1.44,,0.39,,2007,5.79,,,,
2007-04-01,,4,10.7,,11.04,0.37,,,,1.44,,0.39,,2007,5.3,,,,
2007-05-01,,5,6.6,,11.04,0.37,,,,1.44,,0.39,,2007,5.08,,,,
2007-06-01,,6,,,11.04,0.37,,,,1.44,,0.39,,2007,4.94,,,,
2007-07-01,,7,,,11.04,0.37,,,,1.44,,0.39,,2007,4.8,,,,
2007-08-01,,8,,,11.04,0.37,,,,1.44,,0.39,,2007,4.68,,,,
2007-09-01,,9,,,11.04,0.37,,,,1.44,,0.39,,2007,4.66,,,,
2007-10-01,,10,,,11.04,0.37,,,,1.44,,0.39,,2007,5.21,,,,
2007-11-01,,11,5.9,,11.04,0.37,,,,1.44,,0.39,,2007,5.04,,,,
2007-12-01,,12,4.2,,11.04,0.37,,,,1.44,,0.39,,2007,5.49,,,,
2008-01-01,,1,2.9,,11.04,0.37,,,,1.44,,0.39,,2008,9.4,,,,
2008-02-01,,2,0.6,,11.04,0.37,,,,1.44,,0.39,,2008,6.76,,,,
2008-03-01,,3,1.4,,11.04,0.37,,,,1.44,,0.39,,2008,4.93,,,,
2008-04-01,,4,2.2,,11.04,0.37,,,,1.44,,0.39,,2008,4.5,,,,
2008-05-01,,5,5.1,,11.04,0.37,,,,1.44,,0.39,,2008,4.32,,,,
2008-06-01,,6,,,11.04,0.37,,,,1.44,,0.39,,2008,4.14,,,,
2008-07-01,,7,,,11.04,0.37,,,,1.44,,0.39,,2008,4,,,,
2008-08-01,,8,,,11.04,0.37,,,,1.44,,0.39,,2008,3.99,,,,
2008-09-01,,9,,,11.04,0.37,,,,1.44,,0.39,,2008,3.9,,,,
