Date,DRP** mg/L P,Month,NH3 mg/L N,NO2 mg/L N,NO3 mg/L N,PO4 mg/L P,SKN mg/L N,TDN mg/L N,TDP mg/L P,TKN mg/L N,TN mg/L N,TP mg/L P,TSS mg/L,Year,flow mgd,pH,peak_flow mgd,temperature degC,urea* mg/L N
2002-07-01,,7,,,,3.22,,,,25.5,,3.35,,2002,2.83,,,,
2002-08-01,,8,,,,3.22,,,,25.5,,3.35,,2002,2.97,,,,
2002-09-01,,9,27,,,3.22,,,,25.5,,3.35,,2002,3.05,,,,
2002-10-01,,10,,,,3.22,,,,25.5,,3.35,,2002,3,,,,
2002-11-01,,11,,,,3.22,,,,25.5,,3.35,,2002,3.14,,,,
2002-12-01,,12,32,,,3.22,,,,25.5,,3.35,,2002,4.56,,,,
2003-01-01,,1,,,,3.22,,,,25.5,,3.35,,2003,3.74,,,,
2003-02-01,,2,,,,3.22,,,,25.5,,3.35,,2003,3.36,,,,
2003-03-01,,3,14,,,3.22,,,,25.5,,3.35,,2003,3.36,,,,
2003-04-01,,4,,,,3.22,,,,25.5,,3.35,,2003,3.53,,,,
2003-05-01,,5,,,,3.22,,,,25.5,,3.35,,2003,3.46,,,,
2003-06-01,,6,24,,,3.22,,,,25.5,,3.35,,2003,3.16,,,,
2003-07-01,,7,,,,3.22,,,,25.5,,3.35,,2003,2.89,,,,
2003-08-01,,8,,,,3.22,,,,25.5,,3.35,,2003,2.99,,,,
2003-09-01,,9,12.8,,,3.22,,,,25.5,,3.35,,2003,3.16,,,,
2003-10-01,,10,,,,3.22,,,,25.5,,3.35,,2003,3.08,,,,
2003-11-01,,11,,,,3.22,,,,25.5,,3.35,,2003,3.15,,,,
2003-12-01,,12,10,,,3.22,,,,25.5,,3.35,,2003,3.86,,,,
2004-01-01,,1,,,,3.22,,,,25.5,,3.35,,2004,3.77,,,,
2004-02-01,,2,,,,3.22,,,,25.5,,3.35,,2004,4.19,,,,
2004-03-01,,3,21.6,,,3.22,,,,25.5,,3.35,,2004,3.4,,,,
2004-04-01,,4,,,,3.22,,,,25.5,,3.35,,2004,3.18,,,,
2004-05-01,,5,,,,3.22,,,,25.5,,3.35,,2004,3.15,,,,
2004-06-01,,6,16,,,3.22,,,,25.5,,3.35,,2004,3.11,,,,
2004-07-01,,7,,,,3.22,,,,25.5,,3.35,,2004,3.13,,,,
2004-08-01,,8,,,,3.22,,,,25.5,,3.35,,2004,3.17,,,,
2004-09-01,,9,14,,,3.22,,,,25.5,,3.35,,2004,3.13,,,,
2004-10-01,,10,,,,3.22,,,,25.5,,3.35,,2004,3.25,,,,
2004-11-01,,11,,,,3.22,,,,25.5,,3.35,,2004,3.31,,,,
2004-12-01,,12,7.63,,,3.22,,,,25.5,,3.35,,2004,3.92,,,,
2005-01-01,,1,,,,3.22,,,,25.5,,3.35,,2005,4.37,,,,
2005-02-01,,2,,,,3.22,,,,25.5,,3.35,,2005,2.18,,,,
2005-03-01,,3,10.2,,,3.22,,,,25.5,,3.35,,2005,4.17,,,,
2005-04-01,,4,,,,3.22,,,,25.5,,3.35,,2005,3.59,,,,
2005-05-01,,5,,,,3.22,,,,25.5,,3.35,,2005,3.4,,,,
2005-06-01,,6,,,,3.22,,,,25.5,,3.35,,2005,3.27,,,,
2005-07-01,,7,,,,3.22,,,,25.5,,3.35,,2005,3.26,,,,
2005-08-01,,8,,,,3.22,,,,25.5,,3.35,,2005,3.24,,,,
2005-09-01,,9,11,,,3.22,,,,25.5,,3.35,,2005,3.19,,,,
2005-10-01,,10,,,,3.22,,,,25.5,,3.35,,2005,3.16,,,,
2005-11-01,,11,,,,3.22,,,,25.5,,3.35,,2005,3.22,,,,
2005-12-01,,12,,,,3.22,,,,25.5,,3.35,,2005,4.73,,,,
2006-01-01,,1,5.9,,,3.22,,,,25.5,,3.35,,2006,4.24,,,,
2006-02-01,,2,,,,3.22,,,,25.5,,3.35,,2006,3.56,,,,
2006-03-01,,3,,,,3.22,,,,25.5,,3.35,,2006,5.05,,,,
2006-04-01,,4,4.1,,,3.22,,,,25.5,,3.35,,2006,5.01,,,,
2006-05-01,,5,,,,3.22,,,,25.5,,3.35,,2006,3.4,,,,
2006-06-01,,6,,,,3.22,,,,25.5,,3.35,,2006,3.31,,,,
2006-07-01,,7,20,,,3.22,,,,25.5,,3.35,,2006,3.15,,,,
2006-08-01,,8,,,,3.22,,,,25.5,,3.35,,2006,3.12,,,,
2006-09-01,,9,,,,3.22,,,,25.5,,3.35,,2006,3.08,,,,
2006-10-01,,10,2.4,,,3.22,,,,25.5,,3.35,,2006,3.15,,,,
2006-11-01,,11,,,,3.22,,,,25.5,,3.35,,2006,3.28,,,,
2006-12-01,,12,,,,3.22,,,,25.5,,3.35,,2006,3.45,,,,
2007-01-01,,1,,2.38,5.82,3.22,,,,25.5,,3.35,,2007,3.22,,,,
2007-02-01,,2,,3,10.48,3.22,,,,25.5,,3.35,,2007,3.93,,,,
2007-03-01,,3,4.5,3,11.16,3.22,,,,25.5,,3.35,,2007,3.35,,,,
