Date,DRP** mg/L P,Month,NH3 mg/L N,NO2 mg/L N,NO3 mg/L N,PO4 mg/L P,SKN mg/L N,TDN mg/L N,TDP mg/L P,TKN mg/L N,TN mg/L N,TP mg/L P,TSS mg/L,Year,flow mgd,pH,peak_flow mgd,temperature degC,urea* mg/L N
2004-01-01,,1,,,1.91,3,,,,32,,4.11,,2004,10.74,,,,
2004-01-02,,1,,,1.91,3,,,,32,,4.11,,2004,14.2,,,,
2004-01-03,,1,,,1.91,3,,,,32,,4.11,,2004,11.64,,,,
2004-01-04,,1,,,1.91,3,,,,32,,4.11,,2004,10.97,,,,
2004-01-05,,1,26.1,,1.91,3,,,,32,,4.11,,2004,10.75,,,,
2004-01-06,,1,,,1.91,3,,,,32,,4.11,,2004,10.51,,,,
2004-01-07,,1,,,1.91,3,,,,32,,4.11,,2004,10.46,,,,
2004-01-08,,1,,,1.91,3,,,,32,,4.11,,2004,10.22,,,,
2004-01-09,,1,,,1.91,3,,,,32,,4.11,,2004,10.93,,,,
2004-01-10,,1,,,1.91,3,,,,32,,4.11,,2004,10.18,,,,
2004-01-11,,1,,,1.91,3,,,,32,,4.11,,2004,10.1,,,,
2004-01-12,,1,,,1.91,3,,,,32,,4.11,,2004,10.26,,,,
2004-01-13,,1,,,1.91,3,,,,32,,4.11,,2004,10,,,,
2004-01-14,,1,,,1.91,3,,,,32,,4.11,,2004,10.14,,,,
2004-01-15,,1,,,1.91,3,,,,32,,4.11,,2004,10.15,,,,
2004-01-16,,1,,,1.91,3,,,,32,,4.11,,2004,9.41,,,,
2004-01-17,,1,,,1.91,3,,,,32,,4.11,,2004,9.33,,,,
2004-01-18,,1,,,1.91,3,,,,32,,4.11,,2004,9.16,,,,
2004-01-19,,1,,,1.91,3,,,,32,,4.11,,2004,9.93,,,,
2004-01-20,,1,,,1.91,3,,,,32,,4.11,,2004,9.64,,,,
2004-01-21,,1,,,1.91,3,,,,32,,4.11,,2004,9.58,,,,
2004-01-22,,1,,,1.91,3,,,,32,,4.11,,2004,8.17,,,,
2004-01-23,,1,,,1.91,3,,,,32,,4.11,,2004,8.05,,,,
2004-01-24,,1,,,1.91,3,,,,32,,4.11,,2004,8.54,,,,
2004-01-25,,1,,,1.91,3,,,,32,,4.11,,2004,8.28,,,,
2004-01-26,,1,,,1.91,3,,,,32,,4.11,,2004,9.54,,,,
2004-01-27,,1,,,1.91,3,,,,32,,4.11,,2004,9.05,,,,
