Date,DRP** mg/L P,Month,NH3 mg/L N,NO2 mg/L N,NO3 mg/L N,OrgN mg/L N,PO4 mg/L P,SKN mg/L N,TDN mg/L N,TDP mg/L P,TDS mg/L,TKN mg/L N,TN mg/L N,TP mg/L P,TSS mg/L,Year,flow mgd,pH,peak_flow mgd,temperature degC,urea* mg/L N
2000-01-05,,1,10.6,1.03,12.5,4.2,3.627,,,,,,,3.9,10.6,2000,16.3,7.2,,11,
2000-01-06,,1,10.4,,,,,,,,,,,,11.4,2000,16.34,7.2,,10.5,
2000-01-07,,1,12,,,,,,,,,,,,8.6,2000,16.35,7,,13.5,
2000-01-11,,1,7.5,1.09,14.4,4.6,,,,,,,,,12.4,2000,15.9,7.1,,13,
2000-01-12,,1,8,,,,,,,,,,,,12.2,2000,16.35,7,,12.5,
2000-01-13,,1,7.3,,,,,,,,,,,,12.4,2000,16.33,7,,14,
2000-01-17,,1,7.5,1,18.6,6.4,,,,,,,,,14.6,2000,12.28,7,,12,
2000-01-18,,1,5.5,,,,,,,,,,,,18.8,2000,15.79,7,,13.5,
2000-01-19,,1,5,,,,,,,,,,,,14.6,2000,16.68,6.8,,15,
2000-01-23,,1,5.8,0.73,19,4,,,,,,,,,16.6,2000,17.68,6.8,,15,
2000-01-24,,1,5.9,,,,,,,,,,,,7.6,2000,19.39,6.9,,14.5,
2000-01-25,,1,8.5,,,,,,,,,,,,8.4,2000,20.81,6.9,,13.5,
2000-02-01,,2,8.4,0.75,,6.8,4.278,,,,,,,4.6,11,2000,23.35,7.1,,13.5,
2000-02-02,,2,8.8,,,,,,,,,,,,9.4,2000,22.92,7,,14.5,
2000-02-03,,2,8.7,,14.5,,,,,,,,,,8.4,2000,22.48,7.2,,14.5,
2000-02-09,,2,12.4,0.85,12.5,3.7,,,,,,,,,9.4,2000,22.79,7.7,,14,
2000-02-10,,2,13.8,,,,,,,,,,,,10.8,2000,23.6,7.2,,14,
2000-02-11,,2,12.9,,,,,,,,,,,,8.4,2000,22.41,7.1,,14,
2000-02-13,,2,11.4,0.74,11,5.2,,,,,,,,,10.6,2000,23.54,7.3,,12,
2000-02-14,,2,11.7,,,,,,,,,,,,12,2000,23.71,7.3,,14,
2000-02-15,,2,10.4,,,,,,,,,,,,12.2,2000,22.94,7.2,,14,
2000-02-23,,2,12.4,0.7,10.4,1.6,,,,,,,,,9.8,2000,22.14,7.2,,12,
2000-02-24,,2,13,,,,,,,,,,,,9.8,2000,23.26,7.2,,12.5,
2000-02-25,,2,11.2,,,,,,,,,,,,7.4,2000,20.39,7.1,,13,
2000-02-29,,2,8.9,0.83,5.1,2,3.162,,,,,,,3.4,10,2000,20.64,7.2,,13,
2000-03-01,,3,7.8,,,,,,,,,,,,12.8,2000,20.98,7.1,,13,
2000-03-02,,3,6.9,,,,,,,,,,,,17.6,2000,20.39,7,,13,
2000-03-05,,3,8.2,0.8,7,3.4,,,,,,,,,9.6,2000,19.73,7,,12.5,
2000-03-06,,3,8,,,,,,,,,,,,11.4,2000,19.65,7.1,,12.5,
2000-03-07,,3,10.2,,,,,,,,,,,,9.4,2000,19.99,7.1,,13.5,
2000-03-15,,3,3.9,0.77,13.1,3.5,,,,,,,,,13.2,2000,19.53,7.2,,16,
2000-03-16,,3,3.7,,,,,,,,,,,,10.2,2000,20.3,7.4,,17,
2000-03-17,,3,3.9,,,,,,,,,,,,8.8,2000,20.24,7.1,,17,
2000-03-20,,3,4.3,0.74,12,3.9,,,,,,,,,9,2000,20.23,7.4,,16,
2000-03-21,,3,4.2,,,,,,,,,,,,8.6,2000,19.16,7.2,,14.5,
2000-03-22,,3,3.5,,,,,,,,,,,,4.7,2000,19.74,7.2,,18,
2000-03-26,,3,4.4,0.79,12.9,4.7,,,,,,,,,6.8,2000,18.09,7.1,,15.5,
2000-03-27,,3,6.1,,,,,,,,,,,,7,2000,16.59,7.1,,14,
2000-03-28,,3,5.5,,,,,,,,,,,,6.2,2000,15.71,7.2,,14,
2000-04-04,,4,1.7,0.78,17.1,1.5,3.627,,,,,,,3.9,8,2000,15.1,6.9,,18,
2000-04-05,,4,1.5,,,,,,,,,,,,6.5,2000,14.2,6.9,,18,
2000-04-06,,4,1,,,,,,,,,,,,6.4,2000,13.71,6.9,,17.5,
2000-04-09,,4,0.4,0.03,15.4,3.6,,,,,,,,,6.2,2000,14.39,7,,17,
2000-04-10,,4,0.2,,,,,,,,,,,,7.4,2000,13.82,6.7,,18,
2000-04-11,,4,0.1,,,,,,,,,,,,7.2,2000,11.68,6.9,,17,
2000-04-19,,4,0.7,0.05,16.5,3,,,,,,,,,8,2000,13.88,7.1,,17,
2000-04-20,,4,0.4,,,,,,,,,,,,7.9,2000,13.97,7.3,,17,
2000-04-21,,4,0.3,,,,,,,,,,,,7.4,2000,13.55,6.9,,19.5,
2000-04-24,,4,3.3,0.23,18.8,1.5,,,,,,,,,7.4,2000,13.49,7.1,,19,
2000-04-25,,4,1.2,,,,,,,,,,,,8,2000,13.08,7,,16.5,
2000-04-26,,4,0.8,,,,,,,,,,,,6.2,2000,13.83,7.1,,19.5,
2000-05-02,,5,0.7,0.02,5.5,1.1,3.813,,,,,,,4.1,7.4,2000,14.14,7.1,,19,
2000-05-03,,5,0.3,,,,,,,,,,,,6.8,2000,13.51,7.1,,19.5,
2000-05-04,,5,0.1,,,,,,,,,,,,7.2,2000,14.06,7.2,,18.5,
2000-05-10,,5,1.3,0.2,8.2,4.1,,,,,,,,,6.4,2000,12.06,7,,17.5,
2000-05-11,,5,0.8,,,,,,,,,,,,6.4,2000,11.96,7.1,,16.5,
2000-05-12,,5,1.2,,,,,,,,,,,,5.8,2000,11.38,7.1,,17,
2000-05-15,,5,1.3,0.24,6.5,4.8,,,,,,,,,8.2,2000,11.14,7.2,,17.5,
2000-05-16,,5,1.5,,,,,,,,,,,,6.8,2000,12.03,7.1,,16,
2000-05-17,,5,1.2,,,,,,,,,,,,9.4,2000,11.93,7.1,,17.5,
2000-05-21,,5,0.7,0.04,5,3.4,,,,,,,,,9,2000,12.45,7.1,,25,
2000-05-22,,5,0.6,,,,,,,,,,,,9.2,2000,12.91,7.1,,24,
2000-05-23,,5,0.9,,,,,,,,,,,,8.4,2000,13.58,6.9,,23.5,
2000-05-29,,5,1.1,0.26,12,2.8,,,,,,,,,12,2000,13.36,7,,19.5,
2000-05-30,,5,1.3,,,,,,,,,,,,11.4,2000,13.82,7,,20,
2000-05-31,,5,1.3,,,,,,,,,,,,10.4,2000,13.05,7,,20.5,
