Date,DRP** mg/L P,Month,NH3 mg/L N,NO2 mg/L N,NO3 mg/L N,PO4 mg/L P,SKN mg/L N,Salinity,TDN mg/L N,TDP mg/L P,TKN mg/L N,TN mg/L N,TP mg/L P,TSS mg/L,Year,flow mgd,pH,peak_flow mgd,temperature degC,urea* mg/L N
2000-01-04,,1,11.69,,,2.69,,,,,,,,18,2000,9.84,7.1,,18.9,
2000-01-11,,1,14.14,1.36,1.43,2.69,,,,,,,,16,2000,11.96,7.2,,18.4,
2000-01-18,,1,11.62,,,2.69,,,,,,,,20,2000,14.08,7,,18.1,
2000-01-24,,1,3.7,,,2.69,,,,,,,,92,2000,29.81,7.2,,16,
2000-01-25,,1,3.31,,,2.69,,,,,,,,20,2000,26.22,7.3,,17.2,
2000-02-01,,2,10.8,,,2.69,,,,,,,,16,2000,13.78,7.3,,18.4,
2000-02-08,,2,8.75,1.22,5.37,2.69,,,,,,,,15,2000,12.82,7.6,,18.7,
2000-02-14,,2,2.58,,,2.69,,,,,,,,55,2000,32.46,8.1,,16.4,
2000-02-16,,2,2.5,,,2.69,,,,,,,,9,2000,23.07,7.4,,17.9,
2000-02-22,,2,4.66,,,2.69,,,,,,,,12,2000,18.64,7.4,,17.5,
2000-03-01,,3,3.52,,,2.69,,,,,,,,11,2000,20.29,7.4,,18.3,
2000-03-07,,3,2.84,,,2.69,,,,,,,,11,2000,19.18,7.3,,17.6,
2000-03-16,,3,4.37,,,2.69,,,,,,,,10,2000,15.5,7.5,,20.1,
2000-03-20,,3,6.9,1.34,6,2.69,,,,,,,,10,2000,14.28,7.3,,18,
2000-03-28,,3,8.34,,,2.69,,,,,,,,10,2000,13.06,7.4,,19.2,
2000-04-04,,4,10.03,,,2.69,,,,,,,,13,2000,11.57,7.4,,19.7,
2000-04-11,,4,11.06,,,2.69,,,,,,,,13,2000,12.1,7.3,,20.4,
2000-04-18,,4,10.07,0.85,5.11,2.69,,,,,,,,10,2000,13.3,7.4,,20.3,
2000-04-25,,4,11.34,,,2.69,,,,,,,,9,2000,12.3,7.3,,21.5,
2000-05-02,,5,11.5,,,2.69,,,,,,,,12,2000,11.71,7.4,,21.7,
2000-05-10,,5,10.21,1.23,4.34,2.69,,,,,,,,10,2000,12.67,7.4,,20.6,
2000-05-16,,5,9.46,,,2.69,,,,,,,,11,2000,12.52,7.4,,20.9,
2000-05-25,,5,11.48,,,2.69,,,,,,,,10,2000,12.18,7.4,,22.2,
2000-05-30,,5,9.19,,,2.69,,,,,,,,7,2000,12.23,7.3,,22.4,
2000-06-08,,6,13.46,,,2.69,,,,,,,,10,2000,12.39,7.4,,22,
2000-06-13,,6,17.83,,,2.69,,,,,,,,12,2000,11.75,7.2,,24.1,
2000-06-14,,6,14.16,,,2.69,,,,,,,,7,2000,11.75,7.2,,24.9,
2000-06-19,,6,16.12,,,2.69,,,,,,,,13,2000,12.41,7.4,,23.4,
2000-06-25,,6,17.72,,,2.69,,,,,,,,21,2000,12.39,7.4,,23.7,
2000-06-26,,6,15.38,0.66,1.36,2.69,,,,,,,,14,2000,13.15,7.4,,23.7,
2000-06-27,,6,15.24,,,2.69,,,,,,,,10,2000,11.95,7.4,,24,
2000-06-28,,6,12.76,,,2.69,,,,,,,,19,2000,11.81,7.4,,23.8,
2000-06-29,,6,11.94,,,2.69,,,,,,,,19,2000,12.02,7.4,,23,
2000-07-02,,7,7.82,,,2.69,,,,,,,,13,2000,12.73,7.3,,22.6,
2000-07-04,,7,11.16,,,2.69,,,,,,,,20,2000,12.44,7.3,,23.5,
2000-07-05,,7,9.14,,,2.69,,,,,,,,18,2000,12.03,7.4,,22.5,
2000-07-06,,7,10.9,,,2.69,,,,,,,,15,2000,11.91,7.3,,23.4,
2000-07-09,,7,8.5,,,2.69,,,,,,,,14,2000,12.37,7.4,,23.8,
2000-07-10,,7,7.37,,,2.69,,,,,,,,10,2000,12.02,7.4,,23.3,
2000-07-11,,7,10.3,0.97,4.91,2.69,,,,,,,,13,2000,12.03,7.4,,23.5,
2000-07-12,,7,9.11,,,2.69,,,,,,,,12,2000,11.99,7.3,,23.1,
2000-07-13,,7,8.7,,,2.69,,,,,,,,13,2000,11.87,7.2,,23.5,
2000-07-16,,7,7.22,,,2.69,,,,,,,,12,2000,12.58,7.4,,22.8,
2000-07-17,,7,9.3,,,2.69,,,,,,,,12,2000,11.97,7.3,,23.3,
2000-07-18,,7,7.79,,,2.69,,,,,,,,14,2000,11.67,7.3,,23.9,
2000-07-19,,7,8.22,,,2.69,,,,,,,,12,2000,11.8,7.4,,23.8,
2000-07-20,,7,9.38,,,2.69,,,,,,,,10,2000,11.76,7.4,,23.6,
2000-07-23,,7,8.65,,,2.69,,,,,,,,7,2000,12.08,7.4,,24,
2000-07-24,,7,10.87,,,2.69,,,,,,,,9,2000,11.92,7.3,,24.5,
2000-07-25,,7,10.38,,,2.69,,,,,,,,10,2000,11.61,7.5,,24.6,
2000-07-26,,7,10.72,,,2.69,,,,,,,,10,2000,11.72,7.4,,23.6,
2000-07-27,,7,10.4,,,2.69,,,,,,,,11,2000,11.46,7.4,,24.4,
2000-07-30,,7,8.04,,,2.69,,,,,,,,14,2000,12.36,7.3,,23.9,
2000-07-31,,7,5.72,,,2.69,,,,,,,,12,2000,11.95,7.3,,24.9,
2000-08-01,,8,8.61,,,2.69,,,,,,,,14,2000,12.05,7.3,,26,
2000-08-02,,8,9.93,,,2.69,,,,,,,,11,2000,12,7.4,,25.6,
2000-08-03,,8,8.39,,,2.69,,,,,,,,12,2000,11.57,7.4,,24.1,
2000-08-08,,8,9.61,,,2.69,,,,,,,,18,2000,11.38,7.3,,24.1,
2000-08-15,,8,8.73,,,2.69,,,,,,,,11,2000,11.67,7.5,,24.5,
2000-08-22,,8,8.67,0.37,3.48,2.69,,,,,,,,13,2000,11.48,7.5,,23.8,
2000-08-30,,8,9.73,,,2.69,,,,,,,,18,2000,11.3,7.3,,23.4,
2000-09-06,,9,12.54,,,2.69,,,,,,,,16,2000,11.18,7.5,,24.6,
2000-09-13,,9,10.58,,,2.69,,,,,,,,14,2000,11.38,7.4,,24.9,
2000-09-18,,9,9.06,0.55,1.58,2.69,,,,,,,,9,2000,11.5,7.2,,25.6,
2000-09-26,,9,10.29,,,2.69,,,,,,,,16,2000,11.5,7.2,,24.8,
2000-10-01,,10,9.76,,,2.69,,,,,,,,13,2000,11.5,7.3,,24.1,
2000-10-04,,10,9.15,0.58,5.94,2.69,,,,,,,,18,2000,11.18,7.3,,23.4,
